Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Plain Text,texts/5567.txt,5567.txt,1,1,0,0,0,1,0
SVG,shapes/5569.svg,5569.svg,7,7,0,0,0,597,0
SVG,shapes/557.svg,557.svg,6,6,0,0,0,528,0
Plain Text,texts/5571.txt,5571.txt,1,1,0,0,0,17,0
Plain Text,texts/5572.txt,5572.txt,1,1,0,0,0,1,0
Plain Text,texts/5573.txt,5573.txt,1,1,0,0,0,7,0
Plain Text,texts/5575.txt,5575.txt,5,5,0,0,0,323,0
Plain Text,texts/5576.txt,5576.txt,1,1,0,0,0,5,0
Plain Text,texts/5577.txt,5577.txt,1,1,0,0,0,8,0
Plain Text,texts/5578.txt,5578.txt,1,1,0,0,0,46,0
SVG,shapes/558.svg,558.svg,6,6,0,0,0,528,0
Plain Text,texts/5581.txt,5581.txt,1,1,0,0,0,2,0
Plain Text,texts/5582.txt,5582.txt,1,1,0,0,0,14,0
Plain Text,texts/5583.txt,5583.txt,1,1,0,0,0,5,0
Plain Text,texts/5584.txt,5584.txt,1,1,0,0,0,16,0
Plain Text,texts/5585.txt,5585.txt,1,1,0,0,0,5,0
SVG,shapes/5586.svg,5586.svg,7,7,0,0,0,588,0
Plain Text,texts/5587.txt,5587.txt,1,1,0,0,0,1,0
SVG,shapes/5588.svg,5588.svg,7,7,0,0,0,590,0
Plain Text,texts/5589.txt,5589.txt,1,1,0,0,0,1,0
SVG,shapes/559.svg,559.svg,6,6,0,0,0,528,0
SVG,shapes/5590.svg,5590.svg,7,7,0,0,0,588,0
Plain Text,texts/5591.txt,5591.txt,1,1,0,0,0,1,0
SVG,shapes/5592.svg,5592.svg,7,7,0,0,0,586,0
Plain Text,texts/5593.txt,5593.txt,1,1,0,0,0,1,0
SVG,shapes/5594.svg,5594.svg,7,7,0,0,0,588,0
Plain Text,texts/5595.txt,5595.txt,1,1,0,0,0,1,0
SVG,shapes/5596.svg,5596.svg,7,7,0,0,0,588,0
Plain Text,texts/5597.txt,5597.txt,1,1,0,0,0,1,0
SVG,shapes/5598.svg,5598.svg,7,7,0,0,0,588,0
Plain Text,texts/5599.txt,5599.txt,1,1,0,0,0,1,0
SVG,shapes/56.svg,56.svg,7,7,0,0,0,660,0
SVG,shapes/560.svg,560.svg,8,8,0,0,0,1512,0
SVG,shapes/5600.svg,5600.svg,7,7,0,0,0,586,0
Plain Text,texts/5601.txt,5601.txt,1,1,0,0,0,1,0
SVG,shapes/5602.svg,5602.svg,6,6,0,0,0,448,0
SVG,shapes/5604.svg,5604.svg,6,6,0,0,0,475,0
Plain Text,texts/5606.txt,5606.txt,1,1,0,0,0,12,0
Plain Text,texts/5607.txt,5607.txt,1,1,0,0,0,13,0
Plain Text,texts/5608.txt,5608.txt,1,1,0,0,0,25,0
Plain Text,texts/5609.txt,5609.txt,1,1,0,0,0,4,0
SVG,shapes/561.svg,561.svg,6,6,0,0,0,528,0
Plain Text,texts/5610.txt,5610.txt,1,1,0,0,0,5,0
Plain Text,texts/5611.txt,5611.txt,1,1,0,0,0,4,0
Plain Text,texts/5612.txt,5612.txt,1,1,0,0,0,3,0
Plain Text,texts/5613.txt,5613.txt,1,1,0,0,0,13,0
Plain Text,texts/5614.txt,5614.txt,1,1,0,0,0,7,0
Plain Text,texts/5615.txt,5615.txt,1,1,0,0,0,6,0
Plain Text,texts/5616.txt,5616.txt,1,1,0,0,0,10,0
Plain Text,texts/5617.txt,5617.txt,1,1,0,0,0,6,0
Plain Text,texts/5618.txt,5618.txt,1,1,0,0,0,8,0
Plain Text,texts/5619.txt,5619.txt,1,1,0,0,0,7,0
SVG,shapes/562.svg,562.svg,6,6,0,0,0,606,0
Plain Text,texts/5620.txt,5620.txt,1,1,0,0,0,9,0
Plain Text,texts/5621.txt,5621.txt,1,1,0,0,0,5,0
Plain Text,texts/5622.txt,5622.txt,1,1,0,0,0,8,0
Plain Text,texts/5623.txt,5623.txt,1,1,0,0,0,5,0
Plain Text,texts/5624.txt,5624.txt,1,1,0,0,0,6,0
Plain Text,texts/5625.txt,5625.txt,1,1,0,0,0,12,0
Plain Text,texts/5626.txt,5626.txt,1,1,0,0,0,5,0
Plain Text,texts/5627.txt,5627.txt,1,1,0,0,0,6,0
Plain Text,texts/5628.txt,5628.txt,1,1,0,0,0,8,0
Plain Text,texts/5629.txt,5629.txt,1,1,0,0,0,6,0
SVG,shapes/563.svg,563.svg,7,7,0,0,0,850,0
Plain Text,texts/5630.txt,5630.txt,1,1,0,0,0,8,0
Plain Text,texts/5631.txt,5631.txt,1,1,0,0,0,11,0
Plain Text,texts/5632.txt,5632.txt,1,1,0,0,0,8,0
Plain Text,texts/5633.txt,5633.txt,1,1,0,0,0,13,0
Plain Text,texts/5634.txt,5634.txt,1,1,0,0,0,8,0
Plain Text,texts/5635.txt,5635.txt,1,1,0,0,0,4,0
Plain Text,texts/5636.txt,5636.txt,1,1,0,0,0,4,0
Plain Text,texts/5637.txt,5637.txt,1,1,0,0,0,5,0
Plain Text,texts/5638.txt,5638.txt,1,1,0,0,0,5,0
Plain Text,texts/5639.txt,5639.txt,1,1,0,0,0,5,0
SVG,shapes/564.svg,564.svg,7,7,0,0,0,1575,0
Plain Text,texts/5640.txt,5640.txt,1,1,0,0,0,6,0
Plain Text,texts/5641.txt,5641.txt,1,1,0,0,0,5,0
Plain Text,texts/5642.txt,5642.txt,1,1,0,0,0,5,0
Plain Text,texts/5643.txt,5643.txt,1,1,0,0,0,1,0
Plain Text,texts/5644.txt,5644.txt,1,1,0,0,0,7,0
Plain Text,texts/5645.txt,5645.txt,1,1,0,0,0,1,0
Plain Text,texts/5646.txt,5646.txt,1,1,0,0,0,6,0
